recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients
1,Other,"Kallo Organic Beef Stock Cubes 8Pk 88G, £1.90 each",1 beef stock cube,1,£1.90,1,beef stock cube
4,Other,"Tesco Finest Beef Stock 450Ml, £2.00 each",200ml beef stock,1,£2.00,200ml,beef stock
6,Other,"Knorr Chicken Stock Pot 4 X 28G, £1.65 each",1 chicken stock pot,1,£1.65,1,chicken stock pot
18,Other,"Tesco Vegetable Stockpot 4 Pack 112G, £1.20 each",0.5 vegetable stock pot,1,£1.20,0.5,vegetable stock pot
19,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
20,Other,"Oxo Reduced Salt Vegetable Stock Cubes 12 Pack 71G, £2.40 each",1 reduced-salt vegetable stock cube,1,£2.40,1,reduced-salt vegetable stock cube
21,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
28,Other,"Oxo Reduced Salt Vegetable Stock Cubes 12 Pack 71G, £2.40 each",0.5 reduced-salt vegetable stock cube,1,£2.40,0.5,reduced-salt vegetable stock cube
33,Other,"Colman's Cheddar Cheese Sauce Mix 40G, £0.90 each",cheese mix,1,£0.90,,cheese mix
37,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
44,Other,"Kallo Organic Beef Stock Cubes 8Pk 88G, £1.90 each",1 beef stock cube,1,£1.90,1,beef stock cube
45,Other,"Knorr Beef Stock Pot 4 X 28G, £1.65 each",1 beef stock pot,1,£1.65,1,beef stock pot
48,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
50,Other,"Tesco Finest Beef Stock 450Ml, £2.00 each",1.4 lt beef stock,4,£8.00,1.4,lt beef stock
61,Other,"Knorr Organic Chicken Stock Pot 4X26g, £2.00 each",2 chicken stock pots,1,£2.00,2,chicken stock pots
63,Other,"Knorr Chicken Stock Pot 4 X 28G, £1.65 each",1 chicken stock pot,1,£1.65,1,chicken stock pot
64,Other,"Tesco Finest Vegetable Stock 450Ml, £2.00 each",200ml vegetable stock,1,£2.00,200ml,vegetable stock
65,Other,"Tesco Mashed Potato 800G, £1.30 each",mashed potato,1,£1.30,,mashed potato
68,Other,"Knorr Organic Chicken Stock Pot 4X26g, £2.00 each",2 chicken stock pots,1,£2.00,2,chicken stock pots
73,Other,"Kallo Organic Chicken Stock Cubes 8Pk 88G, £1.90 each",1 chicken stock cube,1,£1.90,1,chicken stock cube
74,Other,"Kallo Organic Vegetable Stock Cubes 8Pk 88G, £1.90 each",1 vegetable stock cube,1,£1.90,1,vegetable stock cube
75,Other,"Kallo Organic Vegetable Stock Cubes 8Pk 88G, £1.90 each",1 vegetable stock cube,1,£1.90,1,vegetable stock cube
77,Other,"Kallo Organic Beef Stock Cubes 8Pk 88G, £1.90 each",1 beef stock cube,1,£1.90,1,beef stock cube
79,Other,"Kallo Organic Vegetable Stock Cubes 8Pk 88G, £1.90 each",1 vegetable stock cube,1,£1.90,1,vegetable stock cube
80,Other,"Knorr Beef Stock Pot 4 X 28G, £1.65 each",1 beef stock pot,1,£1.65,1,beef stock pot
82,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
84,Other,"Knorr Lamb Stock Pot 112G, £1.65 each",600ml lamb stock,1,£1.65,600ml,lamb stock
94,Other,"Tesco Finest Vegetable Stock 450Ml, £2.00 each",100ml vegetable stock,1,£2.00,100ml,vegetable stock
95,Other,"Marigold Swiss Vegetable Bouillon Powder 150G, £2.30 each",vegetable bouillon powder,1,£2.30,,vegetable bouillon powder
109,Other,"Kallo Organic Chicken Stock Cubes 8Pk 88G, £1.90 each",1 chicken stock cube,1,£1.90,1,chicken stock cube
113,Other,"Tesco Finest Beef Stock 450Ml, £2.00 each",500ml beef stock,2,£4.00,500ml,beef stock
119,Other,"Kallo Organic Vegetable Stock Cubes 8Pk 88G, £1.90 each",0.5 vegetable stock cube,1,£1.90,0.5,vegetable stock cube
128,Other,"Tesco Finest Beef Stock 450Ml, £2.00 each",1 l tr beef stock,1,£2.00,1,l tr beef stock
133,Other,"Merchant Gourmet Puy Lentils Ready To Eat 250G, £2.00 each",250g ready to eat puy lentils,1,£2.00,250g,ready to eat puy lentils
135,Other,"Kallo Organic Vegetable Stock Cubes 8Pk 88G, £1.90 each",0.5 vegetable stock cube,1,£1.90,0.5,vegetable stock cube
139,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
145,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
149,Other,"Knorr Vegetable Stock Pot 4 X 28G, £1.65 each",1 vegetable stock pot,1,£1.65,1,vegetable stock pot
