recipe_id,section,item,ingredient,quantity,price,quantities,raw_ingredients,simplified_ingredients
2,Canned foods,"Pride Coconut Milk 400Ml, £1.00 each",400ml tin coconut milk,1,£1.00,400ml tin,coconut milk,coconut milk
15,Canned foods,"Pride Coconut Milk Light 400Ml, £1.00 each",400g tin lighter coconut milk,2,£2.00,400g tin,lighter coconut milk,coconut milk
19,Canned foods,"Tesco Butter Beans 400G, £0.63 each",400g butter beans,1,£0.63,400g,butter beans,butter beans
25,Canned foods,"Pride Coconut Milk Light 400Ml, £1.00 each",400ml tin light coconut milk,1,£1.00,400ml tin,light coconut milk,coconut milk
25,Canned foods,"Growers Harvest New Potatoes In Water 567G, £0.38 each",300g tin new potatoes,1,£0.38,300g tin,new potatoes,potatoes
27,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes,chopped tomatoes
28,Canned foods,"John West Anchovy Fillets In Olive Oil 95G, £2.80 each",30g anchovies,1,£2.80,30g,anchovies,anchovies
32,Canned foods,"Tesco Italian Chopped Tomatoes227g, £0.45 each",227g tin italian chopped tomatoes,1,£0.45,227g tin,italian chopped tomatoes,chopped tomatoes
34,Canned foods,"Tesco Black Beans 400G, £0.61 each",800g tins beans,2,£1.22,800g tins,beans,black beans
35,Canned foods,"Tesco Green Lentils In Water 390G, £0.58 each",780g green lentils,2,£1.16,780g,green lentils,lentils
37,Canned foods,"Tesco Borlotti Beans In Water 400G, £0.54 each",400g tin borlotti beans,1,£0.54,400g tin,borlotti beans,borlotti beans
37,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes,chopped tomatoes
38,Canned foods,"Tesco Cannellini Beans 400G, £0.63 each",400g tin cannellini beans,1,£0.63,400g tin,cannellini beans,cannellini beans
39,Canned foods,"Napolina Chick Peas 400G, £0.85 each",400g chickpeas,1,£0.85,400g,chickpeas,chickpeas
39,Canned foods,"Napolina Chopped Tomatoes 400G, £1.00 each",400g tin chopped tomatoes,1,£1.00,400g tin,chopped tomatoes,chopped tomatoes
40,Canned foods,"Tesco Cream Of Mushroom Soup 400G, £0.75 each",400g tin cream of mushroom soup,1,£0.75,400g tin,cream of mushroom soup,mushroom soup
45,Canned foods,"Napolina Chick Peas 400G, £0.85 each",600g tins chickpeas,2,£1.70,600g tins,chickpeas,chickpeas
46,Canned foods,"Napolina Chick Peas 400G, £0.85 each",1200g chickpeas,3,£2.55,1200g,chickpeas,chickpeas
48,Canned foods,"Tesco Black Eye Beans In Water 400G, £0.54 each",400g black-eyed beans,1,£0.54,400g,black-eyed beans,black-eyed beans
